state,features,propertyType,bathrooms,bedrooms,carspaces,unitNumber,streetNumber,street,area,region,suburb,postcode,displayableAddress,latitude,longitude,isRural,isNew,tags,id,sold_price,landArea,URL
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'Gym', 'Intercom', 'Bath', 'Dishwasher', 'Study', 'BalconyDeck']",ApartmentUnitFlat,2,2,1,1,1,Sunbeam Street,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"1/1 Sunbeam Street, Campsie",-33.92249,151.101654,False,False,[],2017825142,582000,102,http://www.domain.com.au/2017825142
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Gas', 'InternalLaundry', 'Dishwasher']",ApartmentUnitFlat,2,2,2,307,60,Charlotte Street,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"307/60 Charlotte Street, Campsie",-33.922905,151.101944,False,False,[],2017982370,660000,115,http://www.domain.com.au/2017982370
NSW,['BuiltInWardrobes'],ApartmentUnitFlat,1,2,1,6,50,Frederick Street,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"6/50 Frederick Street, Campsie",-33.9083824,151.109329,False,False,[],2017760691,485000,80,http://www.domain.com.au/2017760691
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'Bath', 'Heating']",ApartmentUnitFlat,2,2,2,207,52,Charlotte Street,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"207/52 Charlotte Street, Campsie",-33.92276,151.101334,False,False,[],2017862337,671000,111,http://www.domain.com.au/2017862337
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'InternalLaundry', 'PetsAllowed', 'SecureParking', 'GroundFloor', 'Intercom', 'SeparateDiningRoom', 'Dishwasher', 'FullyFenced', 'GardenCourtyard']",ApartmentUnitFlat,2,2,2,3,16-17,South Parade,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"3/16-17 South Parade, Campsie",-33.9099045,151.109787,False,False,[],2017809128,850000,244,http://www.domain.com.au/2017809128
NSW,"['BuiltInWardrobes', 'InternalLaundry', 'SecureParking']",ApartmentUnitFlat,1,2,1,7,42,South Parade,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"7/42 South Parade, Campsie",-33.910553,151.105316,False,False,[],2017815505,530000,71,http://www.domain.com.au/2017815505
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Intercom']",ApartmentUnitFlat,2,2,1,103,37-39,Ninth Avenue,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"103/37-39 Ninth Avenue, Campsie",-33.90842,151.10144,False,False,[],2017695057,645000,113,http://www.domain.com.au/2017695057
NSW,"['BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'Dishwasher', 'Study']",ApartmentUnitFlat,2,2,1,161,548-568,Canterbury Road,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"161/548-568 Canterbury Road, Campsie",-33.9185753,151.103531,False,False,[],2017821942,590000,94,http://www.domain.com.au/2017821942
NSW,"['BuiltInWardrobes', 'Floorboards', 'Gas', 'InternalLaundry', 'PetsAllowed', 'SecureParking', 'SwimmingPool', 'GroundFloor', 'NorthFacing', 'Intercom', 'Bath', 'FullyFenced', 'BalconyDeck']",ApartmentUnitFlat,1,2,1,11,3-9,Second Avenue,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"11/3-9 Second Avenue, Campsie",-33.90884,151.096924,False,False,[],2017772580,805000,204,http://www.domain.com.au/2017772580
NSW,"['AirConditioning', 'Ensuite', 'Floorboards', 'InternalLaundry', 'SecureParking']",ApartmentUnitFlat,2,3,2,2,95,Ninth Avenue,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"2/95 Ninth Avenue, Campsie",-33.90939,151.0971,False,False,[],2017740882,840000,155,http://www.domain.com.au/2017740882
